0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:58:15 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:58:15 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:58:15 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:58:15 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:58:15 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:58:21 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:58:21 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:58:44 -0400] "GET /maven/ HTTP/1.1" 200 7017
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:58:44 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:58:44 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:58:44 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:58:44 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:59:42 -0400] "GET /maven/ HTTP/1.1" 200 7017
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:59:42 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:59:42 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:59:42 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:59:42 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:59:51 -0400] "GET /maven/ HTTP/1.1" 200 7017
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:59:51 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:59:51 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:59:51 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:16:59:51 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:00:40 -0400] "GET /maven/ HTTP/1.1" 200 7237
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:00:40 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml;jsessionid=D48D4F4296E60DEAB66EDE76E740FB8A?ln=javax.faces&stage=Development HTTP/1.1" 200 385971
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:00:40 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml;jsessionid=D48D4F4296E60DEAB66EDE76E740FB8A?ln=css HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:00:40 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml;jsessionid=D48D4F4296E60DEAB66EDE76E740FB8A?ln=js HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:00:40 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24936
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:15 -0400] "GET /maven/ HTTP/1.1" 200 7017
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:15 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 200 385971
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:15 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:15 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:15 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24936
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:36 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:37 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 9573
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:37 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:37 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:37 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:37 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:43 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:44 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:44 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:44 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:44 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:01:44 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:02:56 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:02:56 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 200 385971
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:02:56 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:02:56 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:02:56 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24936
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:03:15 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 6706
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:03:15 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 200 385971
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:03:15 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:03:15 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:03:15 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24936
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:05:09 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 6942
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:05:09 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 200 385971
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:05:09 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:05:09 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:05:09 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24936
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:05:35 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 6933
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:05:35 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:05:35 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:05:35 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:05:35 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:45 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 6933
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:45 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:45 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:45 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:45 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:46 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 6933
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:46 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:46 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:46 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:46 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:54 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 6933
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:54 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 200 385971
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:54 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:54 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:08:54 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24936
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:09:19 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:09:19 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 7243
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:09:19 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:09:19 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:09:19 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:09:19 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:09:36 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:09:37 -0400] "POST /maven/CheckExercise.xhtml HTTP/1.1" 200 9800
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:09:37 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:09:37 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:09:37 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:09:37 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:15:42 -0400] "GET /maven/ HTTP/1.1" 200 9800
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:15:42 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:15:42 -0400] "GET /maven/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:15:42 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:15:42 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:15:42 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:15:42 -0400] "GET /maven/javax.faces.resource/CheckExercise.js.xhtml?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:15:55 -0400] "GET /maven/ HTTP/1.1" 200 9800
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:15:55 -0400] "GET /maven/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 200 385971
0:0:0:0:0:0:0:1 - - [30/Mar/2018:17:15:55 -0400] "GET /maven/javax.faces.resource/CheckExercise.css.xhtml?ln=css HTTP/1.1" 200 361
